Date,AAPL,AMZN,COST,GOOGL,JPM,LMT,META,MSFT,MSTR,NFLX,NVDA,TSLA,TSM,XOM
1962-01-02,,,,,,3.5084359645843506,,,,,,,,1.578125
1962-01-03,,,,,,3.527606964111328,,,,,,,,1.6015629768371582
1962-01-04,,,,,,3.460505962371826,,,,,,,,1.605468988418579
1962-01-05,,,,,,3.431747913360596,,,,,,,,1.5703129768371582
1962-01-08,,,,,,3.383819103240967,,,,,,,,1.566406011581421
1962-01-09,,,,,,3.412576913833618,,,,,,,,1.5625
1962-01-10,,,,,,3.4029910564422607,,,,,,,,1.5546879768371582
1962-01-11,,,,,,3.527606964111328,,,,,,,,1.5703129768371582
1962-01-12,,,,,,3.633052110671997,,,,,,,,1.59375
1962-01-15,,,,,,3.604294061660767,,,,,,,,1.59375
1962-01-16,,,,,,3.585123062133789,,,,,,,,1.582031011581421
1962-01-17,,,,,,3.5563650131225586,,,,,,,,1.574218988418579
1962-01-18,,,,,,3.623466014862061,,,,,,,,1.578125
1962-01-19,,,,,,3.6905670166015625,,,,,,,,1.589843988418579
1962-01-22,,,,,,3.757668972015381,,,,,,,,1.59375
1962-01-23,,,,,,3.786426067352295,,,,,,,,1.582031011581421
1962-01-24,,,,,,3.796011924743652,,,,,,,,1.582031011581421
1962-01-25,,,,,,3.8631129264831534,,,,,,,,1.5859379768371582
1962-01-26,,,,,,3.9493870735168457,,,,,,,,1.59375
1962-01-29,,,,,,3.872699022293091,,,,,,,,1.6171879768371582
1962-01-30,,,,,,3.987730026245117,,,,,,,,1.6328129768371582
1962-01-31,,,,,,3.9493870735168457,,,,,,,,1.65625
1962-02-01,,,,,,3.8918709754943848,,,,,,,,1.6875
1962-02-02,,,,,,3.8918709754943848,,,,,,,,1.722656011581421
1962-02-05,,,,,,3.911042928695679,,,,,,,,1.738281011581421
1962-02-06,,,,,,3.911042928695679,,,,,,,,1.714843988418579
1962-02-07,,,,,,3.9493870735168457,,,,,,,,1.7109379768371582
1962-02-08,,,,,,4.00690221786499,,,,,,,,1.7109379768371582
1962-02-09,,,,,,3.987730026245117,,,,,,,,1.691406011581421
1962-02-12,,,,,,3.958971977233887,,,,,,,,1.6953129768371582
1962-02-13,,,,,,3.9206290245056152,,,,,,,,1.683593988418579
1962-02-14,,,,,,3.939800977706909,,,,,,,,1.703125
1962-02-15,,,,,,3.9685580730438232,,,,,,,,1.707031011581421
1962-02-16,,,,,,4.016488075256348,,,,,,,,1.7109379768371582
1962-02-19,,,,,,4.00690221786499,,,,,,,,1.738281011581421
1962-02-20,,,,,,4.026073932647705,,,,,,,,1.746093988418579
1962-02-21,,,,,,3.9493870735168457,,,,,,,,1.71875
1962-02-23,,,,,,3.8822851181030273,,,,,,,,1.722656011581421
1962-02-26,,,,,,3.815184116363525,,,,,,,,1.7109379768371582
1962-02-27,,,,,,3.796011924743652,,,,,,,,1.7265629768371582
1962-02-28,,,,,,3.8343560695648193,,,,,,,,1.730468988418579
1962-03-01,,,,,,3.901457071304321,,,,,,,,1.7421879768371582
1962-03-02,,,,,,3.853528022766113,,,,,,,,1.7265629768371582
1962-03-05,,,,,,3.872699022293091,,,,,,,,1.71875
1962-03-06,,,,,,3.805598020553589,,,,,,,,1.714843988418579
1962-03-07,,,,,,3.796011924743652,,,,,,,,1.707031011581421
1962-03-08,,,,,,3.796011924743652,,,,,,,,1.6796879768371582
1962-03-09,,,,,,3.7768399715423584,,,,,,,,1.691406011581421
1962-03-12,,,,,,3.757668972015381,,,,,,,,1.6796879768371582
1962-03-13,,,,,,3.7768399715423584,,,,,,,,1.683593988418579
1962-03-14,,,,,,3.786426067352295,,,,,,,,1.6953129768371582
1962-03-15,,,,,,3.767255067825317,,,,,,,,1.722656011581421
1962-03-16,,,,,,3.7289109230041504,,,,,,,,1.714843988418579
1962-03-19,,,,,,3.6905670166015625,,,,,,,,1.71875
1962-03-20,,,,,,3.633052110671997,,,,,,,,1.699218988418579
1962-03-21,,,,,,3.585123062133789,,,,,,,,1.6953129768371582
1962-03-22,,,,,,3.661809921264648,,,,,,,,1.691406011581421
1962-03-23,,,,,,3.700153112411499,,,,,,,,1.6953129768371582
1962-03-26,,,,,,3.719325065612793,,,,,,,,1.6953129768371582
1962-03-27,,,,,,3.709738969802856,,,,,,,,1.6953129768371582
1962-03-28,,,,,,3.719325065612793,,,,,,,,1.7109379768371582
1962-03-29,,,,,,3.805598020553589,,,,,,,,1.7109379768371582
1962-03-30,,,,,,3.767255067825317,,,,,,,,1.707031011581421
1962-04-02,,,,,,3.748083114624024,,,,,,,,1.707031011581421
1962-04-03,,,,,,3.6809821128845215,,,,,,,,1.683593988418579
1962-04-04,,,,,,3.585123062133789,,,,,,,,1.6640629768371582
1962-04-05,,,,,,3.585123062133789,,,,,,,,1.671875
1962-04-06,,,,,,3.623466014862061,,,,,,,,1.6640629768371582
1962-04-09,,,,,,3.527606964111328,,,,,,,,1.6328129768371582
1962-04-10,,,,,,3.5755369663238525,,,,,,,,1.6640629768371582
1962-04-11,,,,,,3.460505962371826,,,,,,,,1.6640629768371582
1962-04-12,,,,,,3.412576913833618,,,,,,,,1.644531011581421
