Date,DAX,DOW,FTSE,HSI,IWM,NIKKEI,QQQ,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2023-12-08,16759.220703125,36247.87109375,7554.5,16334.3701171875,186.8000030517578,32307.859375,392.1700134277344,460.20001220703125,40.96500015258789,70.4800033569336,41.1150016784668,36.130001068115234,108.95999908447266,93.33000183105469,70.11000061035156,37.900001525878906,31.704999923706055,132.07000732421875,86.59500122070312
2023-12-11,16794.4296875,36404.9296875,7544.89990234375,16201.490234375,187.19000244140625,32791.80078125,395.5199890136719,461.989990234375,41.255001068115234,69.94000244140625,41.165000915527344,36.349998474121094,110.0,94.1449966430664,70.77999877929688,38.029998779296875,31.90999984741211,132.94000244140625,86.82499694824219
2023-12-12,16791.740234375,36577.94140625,7542.7998046875,16374.5,187.0,32843.69921875,398.6700134277344,464.1000061035156,41.494998931884766,70.2300033569336,40.599998474121094,36.61000061035156,110.5,94.7699966430664,71.01000213623047,38.02000045776367,31.780000686645508,133.50999450683594,87.09500122070312
2023-12-13,16766.05078125,37090.23828125,7548.39990234375,16228.75,193.3300018310547,32926.3515625,403.739990234375,470.5,42.0,70.88999938964844,41.165000915527344,37.20000076293945,111.7300033569336,95.6050033569336,72.30000305175781,39.400001525878906,32.97999954223633,135.97000122070312,88.23500061035156
2023-12-14,16752.23046875,37248.3515625,7649.0,16402.189453125,198.7100067138672,32686.25,403.3900146484375,472.010009765625,42.69499969482422,71.19999694824219,42.375,37.56999969482422,113.16999816894531,95.37000274658203,71.23999786376953,40.4900016784668,32.54999923706055,135.30999755859375,89.41999816894531
2023-12-15,16751.439453125,37305.16015625,7576.39990234375,16792.189453125,197.0399932861328,32970.55078125,405.3399963378906,469.3299865722656,42.584999084472656,71.0199966430664,42.150001525878906,37.349998474121094,113.0199966430664,95.8499984741211,71.23999786376953,40.0,31.985000610351562,134.16000366210938,89.6050033569336
2023-12-18,16650.55078125,37306.01953125,7614.5,16629.23046875,197.11000061035156,32758.98046875,407.0799865722656,471.9700012207031,42.35499954223633,71.72000122070312,42.09000015258789,37.290000915527344,112.4000015258789,95.92500305175781,71.44000244140625,39.470001220703125,31.614999771118164,133.77999877929688,90.0
2023-12-19,16744.41015625,37557.921875,7638.0,16505.0,200.92999267578125,33219.390625,409.1600036621094,474.8399963378906,42.744998931884766,72.44999694824219,42.595001220703125,37.56999969482422,113.2699966430664,96.29000091552734,71.58000183105469,39.7400016784668,31.795000076293945,134.67999267578125,90.70500183105469
2023-12-20,16733.05078125,37082.0,7715.7001953125,16613.810546875,196.27999877929688,33675.94140625,403.0799865722656,468.260009765625,42.09000015258789,71.88999938964844,42.20000076293945,36.900001525878906,111.44000244140625,94.83499908447266,70.19000244140625,39.2400016784668,31.149999618530273,132.72999572753906,89.05000305175781
2023-12-21,16687.419921875,37404.3515625,7694.7001953125,16621.130859375,199.6199951171875,33140.46875,407.7699890136719,472.70001220703125,42.53499984741211,72.5999984741211,42.3650016784668,37.2599983215332,112.58999633789062,95.9000015258789,70.68000030517578,39.56999969482422,31.204999923706055,134.35000610351562,90.40499877929688
